iter	Passed	Remaining
0	0	75
1	1	86
2	2	86
3	3	87
4	4	89
5	5	89
6	6	87
7	7	90
8	9	91
9	10	95
10	11	96
11	13	96
12	14	95
13	15	95
14	16	95
15	18	97
16	19	95
17	20	95
18	22	93
19	23	93
20	24	92
21	25	91
22	27	90
23	28	89
24	29	87
25	30	86
26	31	84
27	31	82
28	32	80
29	33	78
30	34	77
31	35	76
32	37	75
33	37	73
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	42	64
40	43	63
41	44	60
42	45	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	49	51
49	50	50
50	52	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	67	36
65	68	35
66	69	34
67	70	32
68	70	31
69	72	30
70	73	30
71	74	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
